"place","date","amount","source_infection_stage","source_vaccination_stage","source_variant_type","source_age_strata","destination_infection_stage","destination_vaccination_stage","destination_variant_type","destination_age_strata"
"10000",2021-10-30,5.95,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"10000",2021-10-31,5.45,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"10000",2021-11-01,5.67,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"11000",2020-01-01,481138,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age18to64"
"11000",2020-01-01,85754,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age65to100"
"11000",2020-03-11,220.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"11000",2020-03-13,90.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"11000",2020-03-14,90.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"11000",2020-03-15,310.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"11000",2020-03-16,270.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"11000",2020-11-12,8.8,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"11000",2020-11-13,11.1928571428571,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"11000",2020-11-14,22.8714285714285,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"11000",2020-11-15,18.6214285714286,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"11000",2020-11-16,27.3714285714286,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"11000",2021-04-08,2.29206349206349,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"11000",2021-04-09,7.70873015873016,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"11000",2021-04-10,6.35952380952381,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"11000",2021-04-11,10.6849206349206,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"11000",2021-04-12,12.9468253968254,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"11000",2021-10-28,0.76,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"11000",2021-10-29,0.66,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"11000",2021-10-30,1.11,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"11000",2021-10-31,0.96,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"11000",2021-11-03,2.56,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"12000",2020-01-01,12409301,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age18to64"
"12000",2020-01-01,4376803,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age65to100"
"12000",2020-02-26,10.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"12000",2020-02-27,10.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"12000",2020-02-29,10.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"12000",2020-03-02,40.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"12000",2020-03-03,30.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"12000",2020-10-29,35.9805019305018,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"12000",2020-10-30,68.8994208494207,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"12000",2020-10-31,146.065444015444,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"12000",2020-11-01,163.015250965251,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"12000",2020-11-02,171.748841698842,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"12000",2021-03-11,1.39328358208955,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"12000",2021-03-12,2.64117944114016,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"12000",2021-03-13,4.33403097295478,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"12000",2021-03-14,5.80019638648821,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"12000",2021-03-15,7.18864886095838,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"12000",2021-10-31,315.17,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"12000",2021-11-07,515.15,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"12000",2021-11-14,1186.61,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"12000",2021-11-25,7471.85,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"12000",2021-11-28,14714.99,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"13000",2020-01-01,6463910,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age18to64"
"13000",2020-01-01,1486710,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age65to100"
"13000",2020-02-27,20.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"13000",2020-03-01,10.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"13000",2020-03-02,20.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"13000",2020-03-04,50.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"13000",2020-03-05,70.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"13000",2020-11-26,44.7271037181993,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"13000",2020-11-27,106.351369863013,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"13000",2020-11-28,162.613600782779,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"13000",2020-11-29,243.729060665362,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"13000",2020-11-30,244.472700587084,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"13000",2021-03-25,3.24825743876376,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"13000",2021-03-26,9.14419694229818,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"13000",2021-03-27,11.6347443695545,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"13000",2021-03-28,16.6109074469833,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"13000",2021-03-29,16.0906049646555,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"13000",2021-10-28,102.77,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"13000",2021-10-29,109.17,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"13000",2021-10-30,115.17,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"13000",2021-10-31,96.85,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"13000",2021-11-04,253.57,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"15000",2020-01-01,851265,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age18to64"
"15000",2020-01-01,269629,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age65to100"
"15000",2020-03-02,10.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
