airport_iata,fips_cty,countyname,pop_attribution,pop_airport_catchment,cty_risk
RIC,51678,Lexington,7110,2946507,0.0024130266787080433
RIC,51680,Lynchburg,80131,2946507,0.027195251869416907
IAD,51683,Manassas,41457,4011427,0.010334726270726104
IAD,51685,Manassas Park,16423,4011427,0.00409405431034891
RIC,51690,Martinsville,13101,2946507,0.0044462816480666766
ORF,51700,Newport News,180145,1723351,0.10453181040890683
ORF,51710,Norfolk,245592,1723351,0.14250840368561019
PIT,51720,Norton,3990,4061752,9.82334716644443e-4
RIC,51730,Petersburg,31827,2946507,0.010801603390047945
ORF,51735,Poquoson,12039,1723351,0.006985808462698545
ORF,51740,Portsmouth,95311,1723351,0.05530562259226356
RIC,51750,Radford,17630,2946507,0.005983355885460309
RIC,51760,Richmond,223787,2946507,0.07594992986610927
RIC,51770,Roanoke,99621,2946507,0.03380986367926497
RIC,51775,Salem,25519,2946507,0.008660763405618924
IAD,51790,Staunton,24452,4011427,0.006095586433456224
ORF,51800,Suffolk,89160,1723351,0.05173641353386513
ORF,51810,Virginia Beach,450135,1723351,0.2611975157701478
IAD,51820,Waynesboro,4486,4011427,0.0011183052813873964
RIC,51820,Waynesboro,17440,2946507,0.005918872753399194
ORF,51830,Williamsburg,10677,1723351,0.006195487744516352
RIC,51830,Williamsburg,4111,2946507,0.0013952113468591793
IAD,51840,Winchester,27789,4011427,0.006927459978705832
